date,time,park,land,attraction,wait_time,is_open
2026-09-01,08:01,Tokyo Disneyland,,“it's a small world”,0,False
2026-09-01,08:01,Tokyo Disneyland,Fantasyland,Alice's Tea Party,0,False
2026-09-01,08:01,Tokyo Disneyland,Critter Country,Beaver Brothers Explorer Canoes,0,False
2026-09-01,08:01,Tokyo Disneyland,Westernland,Big Thunder Mountain,0,False
2026-09-01,08:01,Tokyo Disneyland,Fantasyland,Castle Carrousel,0,False
2026-09-01,08:01,Tokyo Disneyland,Toontown,Chip 'n Dale's Treehouse,0,False
2026-09-01,08:01,Tokyo Disneyland,Fantasyland,Cinderella's Fairy Tale Hall,0,False
2026-09-01,08:01,Tokyo Disneyland,Westernland,Country Bear Theater,0,False
2026-09-01,08:01,Tokyo Disneyland,Toontown,Donald's Boat,0,False
2026-09-01,08:01,Tokyo Disneyland,Fantasyland,Dumbo The Flying Elephant,0,False
2026-09-01,08:01,Tokyo Disneyland,Fantasyland,Enchanted Tale of Beauty and the Beast,0,False
2026-09-01,08:01,Tokyo Disneyland,Toontown,Gadget's Go Coaster,0,False
2026-09-01,08:01,Tokyo Disneyland,Toontown,Goofy's Paint 'n' Play House,0,False
2026-09-01,08:01,Tokyo Disneyland,Critter Country,Haunted Mansion,0,False
2026-09-01,08:01,Tokyo Disneyland,Adventureland,Jungle Cruise: Wildlife Expeditions,0,False
2026-09-01,08:01,Tokyo Disneyland,Westernland,Mark Twain Riverboat,0,False
2026-09-01,08:01,Tokyo Disneyland,Fantasyland,Mickey's PhilharMagic,0,False
2026-09-01,08:01,Tokyo Disneyland,Toontown,Minnie's House,0,False
2026-09-01,08:01,Tokyo Disneyland,Tomorrowland,"Monsters, Inc. Ride & Go Seek!",0,False
2026-09-01,08:01,Tokyo Disneyland,World Bazaar,Omnibus,0,False
2026-09-01,08:01,Tokyo Disneyland,World Bazaar,Penny Arcade,0,False
2026-09-01,08:01,Tokyo Disneyland,Fantasyland,Peter Pan's Flight,0,False
2026-09-01,08:01,Tokyo Disneyland,Fantasyland,Pinocchio's Daring Journey,0,False
2026-09-01,08:01,Tokyo Disneyland,Adventureland,Pirates of the Caribbean,0,False
2026-09-01,08:01,Tokyo Disneyland,Critter Country,Pooh's Hunny Hunt,0,False
2026-09-01,08:01,Tokyo Disneyland,Toontown,Roger Rabbit's Car Toon Spin,0,False
2026-09-01,08:01,Tokyo Disneyland,Fantasyland,Snow White's Adventures,0,False
2026-09-01,08:01,Tokyo Disneyland,Critter Country,Splash Mountain,0,False
2026-09-01,08:01,Tokyo Disneyland,Tomorrowland,Star Tours: The Adventures Continue,0,False
2026-09-01,08:01,Tokyo Disneyland,Adventureland,Stitch Encounter,0,False
2026-09-01,08:01,Tokyo Disneyland,Adventureland,Swiss Family Treehouse,0,False
2026-09-01,08:01,Tokyo Disneyland,,The Enchanted Tiki Room: Stitch Presents “Aloha E Komo Mai!”,0,False
2026-09-01,08:01,Tokyo Disneyland,Tomorrowland,The Happy Ride with Baymax,0,False
2026-09-01,08:01,Tokyo Disneyland,Westernland,Tom Sawyer Island Rafts,0,False
2026-09-01,08:01,Tokyo Disneyland,Toontown,Toon Park,0,False
2026-09-01,08:01,Tokyo Disneyland,Westernland,Western River Railroad,0,False
2026-09-01,08:01,Tokyo Disneyland,Westernland,Westernland Shootin' Gallery,0,False
2026-09-01,08:01,Tokyo DisneySea,Mysterious Island,"20,000 Leagues Under the Sea",0,False
2026-09-01,08:01,Tokyo DisneySea,Fantasy Springs,Anna and Elsa's Frozen Journey,0,False
2026-09-01,08:01,Tokyo DisneySea,Port Discovery,Aquatopia,0,False
2026-09-01,08:01,Tokyo DisneySea,Mermaid Lagoon,Ariel's Playground,0,False
2026-09-01,08:01,Tokyo DisneySea,American Waterfront,Big City Vehicles,0,False
2026-09-01,08:01,Tokyo DisneySea,Mermaid Lagoon,Blowfish Balloon Race,0,False
2026-09-01,08:01,Tokyo DisneySea,Arabian Coast,Caravan Carousel,0,False
2026-09-01,08:01,Tokyo DisneySea,American Waterfront,DisneySea Electric Railway (American Waterfront),0,False
2026-09-01,08:01,Tokyo DisneySea,Port Discovery,DisneySea Electric Railway (Port Discovery),0,False
2026-09-01,08:01,Tokyo DisneySea,American Waterfront,DisneySea Transit Steamer Line (American Waterfront),0,False
2026-09-01,08:01,Tokyo DisneySea,Lost River Delta,DisneySea Transit Steamer Line (Lost River Delta),0,False
2026-09-01,08:01,Tokyo DisneySea,Mediterranean Harbor,DisneySea Transit Steamer Line (Mediterranean Harbor),0,False
2026-09-01,08:01,Tokyo DisneySea,Fantasy Springs,Fairy Tinker Bell's Busy Buggies,0,False
2026-09-01,08:01,Tokyo DisneySea,Mermaid Lagoon,Flounder's Flying Fish Coaster,0,False
2026-09-01,08:01,Tokyo DisneySea,Mediterranean Harbor,Fortress Explorations,0,False
2026-09-01,08:01,Tokyo DisneySea,Lost River Delta,Indiana Jones Adventure®: Temple of the Crystal Skull,0,False
2026-09-01,08:01,Tokyo DisneySea,Arabian Coast,Jasmine's Flying Carpets,0,False
2026-09-01,08:01,Tokyo DisneySea,Mysterious Island,Journey to the Center of the Earth,0,False
2026-09-01,08:01,Tokyo DisneySea,Mermaid Lagoon,Jumpin' Jellyfish,0,False
2026-09-01,08:01,Tokyo DisneySea,Mermaid Lagoon,Mermaid Lagoon Theater,0,False
2026-09-01,08:01,Tokyo DisneySea,Port Discovery,Nemo & Friends SeaRider,0,False
2026-09-01,08:01,Tokyo DisneySea,Fantasy Springs,Peter Pan's Never Land Adventure,0,False
2026-09-01,08:01,Tokyo DisneySea,Lost River Delta,Raging Spirits,0,False
2026-09-01,08:01,Tokyo DisneySea,Fantasy Springs,Rapunzel's Lantern Festival,0,False
2026-09-01,08:01,Tokyo DisneySea,Mermaid Lagoon,Scuttle's Scooters,0,False
2026-09-01,08:01,Tokyo DisneySea,Arabian Coast,Sindbad's Storybook Voyage,0,False
2026-09-01,08:01,Tokyo DisneySea,Port Discovery,Soaring: Fantastic Flight,0,False
2026-09-01,08:01,Tokyo DisneySea,Mediterranean Harbor,The Leonardo Challenge,0,False
2026-09-01,08:01,Tokyo DisneySea,Arabian Coast,The Magic Lamp Theater,0,False
2026-09-01,08:01,Tokyo DisneySea,Mermaid Lagoon,The Whirlpool,0,False
2026-09-01,08:01,Tokyo DisneySea,American Waterfront,Tower of Terror,0,False
2026-09-01,08:01,Tokyo DisneySea,American Waterfront,Toy Story Mania!,0,False
2026-09-01,08:01,Tokyo DisneySea,Mermaid Lagoon,Turtle Talk,0,False
2026-09-01,08:01,Tokyo DisneySea,Mediterranean Harbor,Venetian Gondolas,0,False
